City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Colesberg,ZA,56.52,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
487,Mount Pleasant,US,68.18,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
494,Byron Bay,AU,67.89,overcast clouds,-28.65,153.6167,Backpackers Inn
502,Saldanha,ZA,60.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
505,Santander,ES,55.45,mist,43.4647,-3.8044,Abba Santander Hotel
506,Umm Lajj,SA,63.07,clear sky,25.0213,37.2685,Moon light Furnished Units
525,Prattville,US,60.82,heavy intensity rain,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
528,Rincon,US,69.76,overcast clouds,32.296,-81.2354,Days Inn Rincon
534,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
541,Bajitpur,BD,67.82,clear sky,24.2167,90.95,Hotel Chand
548,Ahero,KE,67.86,scattered clouds,-0.1746,34.9163,Jesmic Hotel
552,Portland,US,59.56,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
555,Dharchula,IN,60.69,clear sky,29.85,80.5333,Mahara Hotel
560,Jasper,US,66.15,overcast clouds,37.2001,-94.3502,Guest House Motel
561,Sabha,LY,57.92,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
566,Waipawa,NZ,56.93,broken clouds,-41.4122,175.5153,Tora Coastal Walk
575,Shiraz,IR,62.04,few clouds,29.6036,52.5388,Shams Hotel
578,Mecca,SA,63.88,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
590,Pishin,PK,66.34,clear sky,30.5803,66.9961,City Hotel Pishin
592,Ginir,ET,61.32,broken clouds,7.1333,40.7,Sura Dare Village
596,Poplar Bluff,US,67.78,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
600,Lithgow,AU,57.47,overcast clouds,-33.4833,150.15,Zig Zag Motel Lithgow
602,Silver City,US,67.66,clear sky,32.7701,-108.2803,Copper Manor Motel
606,Ukiah,US,66.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
609,Nishihara,JP,66.25,few clouds,26.1842,127.7558,Minshuku Agaihama
613,Elizabeth City,US,68.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
623,Ponta Delgada,PT,59.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
643,Likasi,CD,62.29,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
652,Maibong,IN,66.94,clear sky,25.3,93.1667,Juhi Cottage Maibang
654,Price,US,57.11,few clouds,39.5994,-110.8107,National 9 - Price River Inn
664,Dubuque,US,58.62,broken clouds,42.4833,-90.8668,American Inn and Suites
666,Taltal,CL,68.94,broken clouds,-25.4,-70.4833,Residencial Karime
679,Shambu,ET,56.84,light rain,9.5667,37.1,Wabe Hotel
681,Xuanzhou,CN,63.93,few clouds,30.9525,118.7553,Nanfang Hotel
