City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Clyde River,CA,70.4692,-68.5914,-16.37,76,98,0.0,overcast clouds
171,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,3.44,clear sky
172,Cap-Aux-Meules,CA,47.3821,-61.8597,26.65,63,40,16.11,scattered clouds
173,Riyadh,SA,24.6877,46.7219,69.94,25,0,13.38,clear sky
174,Seoul,KR,37.5683,126.9778,34.99,93,7,3.44,mist
175,Fortuna,US,40.5982,-124.1573,58.93,87,75,12.66,broken clouds
176,Kisaran,ID,2.9845,99.6158,73.99,98,100,2.86,overcast clouds
177,Moba,CN,33.2288,105.0179,53.49,84,36,2.24,scattered clouds
178,Geraldton,AU,-28.7667,114.6,64.81,88,12,8.05,few clouds
179,Kasongo-Lunda,CD,-6.4667,16.8167,68.9,97,100,1.3,light rain
180,Bundibugyo,UG,0.7414,30.0417,76.59,52,99,2.66,overcast clouds
181,Mongo,TD,12.1844,18.693,81.07,12,4,12.88,clear sky
182,Kodiak,US,57.79,-152.4072,38.71,65,0,4.61,clear sky
183,Kruisfontein,ZA,-34.0033,24.7314,55.89,84,80,4.25,broken clouds
184,Mahebourg,MU,-20.4081,57.7,79.09,94,75,6.91,light intensity shower rain
185,Saint-Augustin,CA,51.226,-58.6502,8.31,66,55,18.23,broken clouds
186,Nizwa,OM,22.9333,57.5333,74.64,32,44,1.72,scattered clouds
187,Cassilandia,BR,-19.1133,-51.7342,77.83,67,100,3.4,overcast clouds
188,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,67.69,64,13,7.11,few clouds
189,Vao,NC,-22.6667,167.4833,80.55,80,98,13.13,overcast clouds
190,Camacha,PT,33.0833,-16.3333,56.62,67,75,25.32,broken clouds
191,Dunedin,NZ,-45.8742,170.5036,52.81,71,100,4.0,overcast clouds
192,Majene,ID,-3.5403,118.9707,78.28,85,96,4.34,overcast clouds
193,Bemidji,US,47.4736,-94.8803,46.17,57,0,6.91,clear sky
194,Benghazi,LY,32.1167,20.0667,52.18,62,2,14.41,clear sky
195,Yuli,NG,9.6989,10.2744,82.24,15,24,7.02,few clouds
196,Lata,PT,40.1629,-8.3327,56.07,76,33,3.65,scattered clouds
197,Cordoba,AR,-31.4135,-64.1811,86.85,37,20,5.75,few clouds
198,Tuy Hoa,VN,13.0833,109.3,70.83,94,69,3.04,broken clouds
199,La Palma,US,33.8464,-118.0467,86.27,51,75,12.66,broken clouds
200,Touros,BR,-5.1989,-35.4608,80.01,81,55,10.25,broken clouds
201,Aksha,RU,50.2814,113.2867,-0.65,75,8,8.12,clear sky
202,Ahuimanu,US,21.4447,-157.8378,81.86,62,40,9.22,scattered clouds
203,Matagami,CA,49.7502,-77.6328,28.51,40,100,8.05,light snow
204,Gorontalo,ID,0.5412,123.0595,74.73,94,55,2.95,broken clouds
205,Narsaq,GL,60.9167,-46.05,-3.64,77,13,7.18,few clouds
